,id,job_title,location,connection,fit
69,70,"retired army national guard recruiter, office manager,  seeking a position in human resources.","Virginia Beach, Virginia",82,
70,71,"human resources generalist at scottmadden, inc.","Raleigh-Durham, North Carolina Area",500+ ,
71,72,business management major and aspiring human resources manager,"Monroe, Louisiana Area",5,
72,73,"aspiring human resources manager, seeking internship in human resources.","Houston, Texas Area",7,
73,74,human resources professional,Greater Boston Area,16,
74,75,"nortia staffing is seeking human resources, payroll & administrative professionals  408 709 2621","San Jose, California",500+ ,
75,76,aspiring human resources professional  passionate about helping to create an inclusive and engaging work environment,"New York, New York",212,
76,77,"human resources
conflict management
policies & procedurestalent managementbenefits & compensation",Dallas/Fort Worth Area,409,
77,78,human resources generalist at schwan's,Amerika Birleşik Devletleri,500+ ,
78,79,liberal arts major. aspiring human resources analyst.,"Baton Rouge, Louisiana Area",7,
79,80,junior mes engineer information systems,"Myrtle Beach, South Carolina Area",52,
80,81,senior human resources business partner at heil environmental,"Chattanooga, Tennessee Area",455,
81,82,aspiring human resources professional  an energetic and team focused leader,"Austin, Texas Area",174,
82,83,hr manager at endemol shine north america,"Los Angeles, California",268,
83,84,human resources professional for the world leader in gis software,"Highland, California",50,
84,85,rrp brand portfolio executive at jti japan tobacco international,Greater Philadelphia Area,500+ ,
85,86,information systems specialist and programmer with a love for data and organization.,"Gaithersburg, Maryland",4,
86,87,bachelor of science in biology from victoria university of wellington,"Baltimore, Maryland",40,
87,88,human resources management major,"Milpitas, California",18,
88,89,director human resources  at ey,Greater Atlanta Area,349,
89,90,undergraduate research assistant at styczynski lab,Greater Atlanta Area,155,
90,91,lead official at western illinois university,Greater Chicago Area,39,
91,92,seeking employment opportunities within customer service or patient care,"Torrance, California",64,
92,93,admissions representative at community medical center long beach,"Long Beach, California",9,
93,94,seeking human  resources opportunities. open to travel and relocation.,Amerika Birleşik Devletleri,415,
94,95,student at westfield state university,"Bridgewater, Massachusetts",57,
95,96,"student at indiana university kokomo   business management   
retail manager at delphi hardware and paint","Lafayette, Indiana",19,
96,97,aspiring human resources professional,"Kokomo, Indiana Area",71,
97,98,student,"Houston, Texas Area",4,
98,99,seeking human resources position,"Las Vegas, Nevada Area",48,
99,100,aspiring human resources manager  graduating may 2020  seeking an entry level human resources position in st. louis,"Cape Girardeau, Missouri",103,
100,101,human resources generalist at loparex,"Raleigh-Durham, North Carolina Area",500+ ,
101,102,business intelligence and analytics at travelers,Greater New York City Area,49,
102,103,always set them up for success,Greater Los Angeles Area,500+ ,
103,104,director of administration at excellence logging,"Katy, Texas",500+ ,
